,train_score_1,test_score_1,train_score_2,test_score_2,train_score_3,test_score_3,train_score_4,test_score_4,train_score_5,test_score_5,train_score_6,test_score_6,train_score_7,test_score_7,train_score_8,test_score_8,train_score_9,test_score_9,train_score_10,test_score_10,train_score_11,test_score_11,train_score_12,test_score_12,train_score_13,test_score_13,train_score_14,test_score_14,train_score_15,test_score_15,train_score_16,test_score_16,train_score_17,test_score_17,train_score_18,test_score_18,train_score_19,test_score_19,train_score_20,test_score_20,train_score_21,test_score_21,train_score_22,test_score_22,train_score_23,test_score_23,train_score_24,test_score_24,train_score_25,test_score_25,train_score_26,test_score_26,train_score_27,test_score_27,train_score_28,test_score_28,train_score_29,test_score_29,train_score_30,test_score_30,train_score_31,test_score_31,train_score_32,test_score_32,train_score_33,test_score_33,train_score_34,test_score_34,train_score_35,test_score_35,train_score_36,test_score_36,train_score_37,test_score_37,train_score_38,test_score_38,train_score_39,test_score_39,train_score_40,test_score_40,train_score_41,test_score_41,train_score_42,test_score_42,train_score_43,test_score_43,train_score_44,test_score_44,train_score_45,test_score_45,train_score_46,test_score_46,train_score_47,test_score_47,train_score_48,test_score_48,train_score_49,test_score_49,train_score_50,test_score_50
0,8.886588174770143,9.171520406860193,8.606197728117762,9.229997151490515,8.596612460766208,9.033595031917349,8.694445252489825,8.689342200311152,8.57772023860935,9.0036471342416,8.587479396666591,8.673162399125113,8.619761864241086,8.954053251957644,8.683047517659633,8.693298296037664,8.730190806522533,8.888873210378158,8.667839653885954,8.902706518431302,8.665095145143331,9.14467814342728,8.605685499904089,9.227825501534715,8.56198531516132,9.153168569928145,8.71978974955997,9.118656493709397,8.58441499136399,9.214054550723855,8.554766992062303,9.082719603938841,8.600981691290034,8.910500492215508,8.499935055030317,9.408951727822162,8.504126975292243,9.637764531778712,8.482957327665755,9.433658344201914,8.473690823895522,9.198634368448621,8.619515480303251,8.920324880603271,8.439916500349115,9.304149206551353,8.602593193542322,8.81509497027447,8.603186511745523,9.044575762871826,8.689698123590146,8.95778330834304,8.68299469566635,8.794539481366813,8.618884355588445,8.968470775073671,8.68775123063462,8.903246193261731,8.665575670559265,8.621380138176125,8.689953132960913,8.903478376650119,8.587353127158904,9.137696028768444,8.553160131085368,9.148932086442928,8.590791676618762,9.320955141966447,8.57113374492977,9.289753515433302,8.55481814465728,9.546824271636929,8.58071852734638,9.418181295225212,8.54773882325924,9.376302135434601,8.620059659898955,9.419655320233517,8.641770567420926,9.344972496982184,8.518319751339952,9.184034738010022,8.644151935139474,8.975141650641266,8.581016274579186,9.24699034157876,8.620886012972207,9.214987899882672,8.561031074448348,9.20669247211503,8.587735835752488,9.073634775604383,8.578526785465574,9.08228739698225,8.48478116069824,9.05409935097576,8.519125447562148,9.089056071591786,8.663841790574148,9.556193436609961
1,8.623027810157877,8.985475254297697,8.504932919380073,8.706613508192762,8.33438249859324,8.762300021590404,8.3463410375375,8.66761966983244,8.363808979082622,8.61243182330143,8.365874787429854,8.930756884642639,8.434798462494397,8.971484287880216,8.347571695478269,9.096227906211261,8.468974905432692,8.980257060642456,8.498862085388375,8.84728493459671,8.390609015765218,9.036218982535347,8.267351076429001,9.186519366740066,8.387271478408927,8.948393197437642,8.472662862672102,8.708145787947855,8.525897670427907,8.590510529692889,8.345379226699695,8.844006682792603,8.270009576033708,8.869771388148129,8.292705389117545,8.912803540121041,8.366214249134874,8.78605393284524,8.362944283188474,9.060171232652435,8.446444951813355,9.044492776073232,8.376492424478348,9.130731477898715,8.367885336690279,8.997212490266337,8.415248753230056,8.871017711863875,8.35291771185676,8.953785381034784,8.367653123372964,8.844240474304325,8.361504851956928,8.777894501031879,8.308966165763184,9.000846397430884,8.448011240204993,8.68708285267941,8.32640239162865,9.04931054861416,8.428537421870304,8.759877229712158,8.370642313492468,8.918138160070436,8.496031092494892,8.832530712356355,8.484288834484596,8.864502677758312,8.467706118321033,8.994415009661997,8.420025117745615,9.01107828562557,8.601534409225993,9.041721906401959,8.52005507397008,9.057587980897184,8.634303988585463,8.847406084971993,8.634229398541077,8.73121522097161,8.70414725260999,8.61160462119163,8.575731636811193,8.837152181533545,8.625709428565099,8.623297902109632,8.632002069514765,8.726357106071449,8.6009977241165,8.769365711912375,8.50500845955389,8.999476428569539,8.427589880365334,8.854213842019847,8.359135948307761,8.767588063435166,8.427125945038547,8.735217894976167,8.564355163886965,9.043944154251987
2,8.678162494500882,9.277429489729375,8.501668428874115,9.088667011494378,8.431686184208973,8.904986689685847,8.357058108606948,9.220819927169183,8.400296976988923,9.191962601810234,8.6294296932004,8.477818394014836,8.50139208916466,8.81019123663359,8.388722327047384,8.636172077547062,8.60871817790983,8.53594079883183,8.484423730779952,8.654919121969687,8.491216776737316,8.678907441765169,8.529195906818206,8.918202940459153,8.41426557900416,9.36266777080314,8.569333739045987,9.141376157253921,8.546574868099928,8.947326371825305,8.627020998203358,8.840511158674968,8.530827974435377,8.954906972487846,8.620796650735564,8.917829283028562,8.625868727080091,8.815777911418357,8.62597223921811,8.862940666735717,8.5589519669127,8.868091170470937,8.542013060009904,8.87452249169984,8.591006440913473,8.830075987296938,8.527071823012916,9.259508440509606,8.658012943216907,8.828411791784502,8.570786622723274,8.918189530894729,8.522348912207788,9.159178919860638,8.471093770529823,9.150585134872236,8.598350662729816,8.88412233591244,8.598178899904886,9.054673717570642,8.536063520732325,8.939805304598726,8.577017930399949,9.039670837854516,8.514213466925495,9.032569768078183,8.529713738288086,9.042743575832876,8.647343850738983,8.726988711112593,8.627197498567215,8.578434425701351,8.664846188770422,8.619248920974684,8.701449008086222,8.68918236958091,8.505658041319146,8.911669577737474,8.569650178378838,8.710432541502243,8.64641417997828,8.800831197934878,8.589200225638821,9.107632095864854,8.619926093296485,8.812283801232836,8.424456695138586,9.307611454242954,8.589826269891319,9.0069079335372,8.59954931880064,8.960105921031943,8.574326566219318,8.953018541153305,8.517199706518698,8.905435457461703,8.520407821267868,8.773717275453997,8.744992345479758,8.877983250398353
3,9.303440140790846,9.738333864909709,9.060714470842067,9.292537393650248,8.993569588217886,9.181362869345193,8.918634126628211,9.576085051168088,8.906098181507948,9.334856950536965,8.892608409302682,9.302113474891737,8.897036571944666,9.30608029243833,8.878719386379924,9.312062905391421,9.050457060648695,9.240050016029402,9.01794551375736,9.372099664227424,8.947339648713376,9.354148222665499,8.936681069911167,9.469423299762731,8.923001336038384,9.56958743222898,8.887927410471022,9.103106488151777,8.975514841140022,9.01215686684212,8.928750998815165,9.07764353641986,9.023103550870918,9.044991115625287,9.004129001886769,9.229701347473926,8.932975963300017,9.194755871831353,8.923644289636893,9.028668013166339,8.995668577898245,8.978107736815812,8.89338031864935,8.845537546431904,8.812144603309708,9.10278982247445,8.826682466956242,9.207669522147947,8.880654811288908,9.182498918922578,8.874160996133392,9.316587825512025,8.938036389590588,9.450498926144556,8.946949037676909,9.174702549762905,8.807241621473525,9.074425993442576,8.924095564325423,9.13290635072101,8.890323282919951,9.17576371474496,9.054717054619198,8.923935506320824,9.012542736370277,9.110159948039446,9.08572260813597,9.10667137060067,9.087746248147155,9.591755938143951,9.153625372636895,9.42788155329045,9.142489029813145,9.272375400271953,9.1162058784451,9.395638242327706,9.155348105982219,9.086419290182668,9.047906405813487,9.208163155554132,9.135269047065878,8.981339930007882,9.104482560922014,8.93738143639803,9.006722077489192,9.407977993778008,9.039481154625788,9.296494633161121,8.931721643259475,9.501856533322398,8.938991775425144,9.438701181629737,8.998079100229642,9.699807397311147,9.157243327069018,9.489959848124622,9.273818454170097,9.721554671451655,9.400349694783294,9.926775640943207
4,9.009327496206478,9.355000078850432,8.70330931360678,8.99848298690263,8.58111961109063,9.013898386671181,8.71699160696968,8.85615482212041,8.599626308168643,9.308369832037616,8.64756564568892,9.146611598372195,8.831356727490636,8.936334397698165,8.74520802115769,9.083419761211896,8.69756161120344,9.182426351292921,8.713769870508083,9.061497719708692,8.807929688766217,8.832151336358908,8.734921266254098,9.037408132078673,8.731542749124147,8.654136973917982,8.66134934759173,8.73621329115563,8.650095046469763,8.796509879743779,8.617002555674201,8.86536706155472,8.836305352873994,8.659943004243575,8.594762142477313,8.973084469818877,8.727020060982358,8.831966239921824,8.823402254825757,8.86880455290618,8.724151083679072,9.015750102655321,8.602410780240586,9.070804392638838,8.681587514644841,8.96060204369351,8.757646824827475,8.610458953288575,8.784024043528612,8.760762619122582,8.71722489511502,9.01906200075158,8.604181535756714,9.075935432991,8.6908561707694,9.131077014655277,8.687374343223873,9.079437786691154,8.700679475348501,9.093750311563237,8.734057763153592,9.332786824721325,8.675306001165353,9.347253895748269,8.730574594437652,9.252055550384162,8.721781413903958,9.278836262696107,8.75448523816097,9.559181656159135,8.77395640543811,9.562055596625676,8.845791308242813,9.558674314936734,8.705362804987125,9.397317378820219,8.660410006900689,9.516819769271669,8.670294126912582,9.505513349645371,8.633560913559995,9.168770576578805,8.696140452420126,9.032810592190916,8.541695892452225,9.352983261602423,8.590724323398481,9.338909652232205,8.512376333674567,9.360249032555641,8.601099736937181,9.16525083225045,8.603835432513987,9.087249786429044,8.593709316819059,9.295626848721652,8.720622977050901,9.059255548457637,8.905132326716465,9.62945601674869
5,9.100395073926558,9.167018519200449,9.003603792317367,8.566617975775248,8.849774444531961,8.565252542367947,8.763311587246829,9.00386614967748,8.937797068810598,8.957591703151495,8.87980260890329,8.904214392662483,8.907777119140897,8.645244717449376,8.825334574248997,8.990365127813462,8.86400607197227,8.772171622442857,8.845235672975324,8.890828580468796,8.684271060874835,9.328457060374932,8.819009712630884,9.020900468018652,8.794162057138177,8.579804539303993,8.746157878900197,9.047002505961188,8.732938357780906,8.961270693047044,8.77349982958474,8.844548897395661,8.6642713781665,8.929829367356534,8.634035406151908,9.096939590193031,8.778727242880775,8.855748646677382,8.805724254081273,8.857105746772847,8.80010170313004,8.928449418675484,8.84082289355372,8.882768025696807,8.81015183965112,9.034309559711971,8.762323017081098,9.048092250928345,8.779758895939745,8.81659861029164,8.898895685056967,8.865571812530563,8.919706573235704,9.007098438966958,8.963699243363552,9.035438059282514,8.844477012447076,9.004124735294456,9.114164592032056,8.850043312823464,8.941398179434053,9.435211543160003,8.888849791655039,9.419992177769732,8.96134573484178,9.109521616946058,8.976188262986433,9.284739417335501,8.77512865933883,9.362655662370758,8.956816379683607,9.134422647617688,8.903954889193749,9.82983067883497,8.937011041940321,9.559692556893225,8.895686695332325,9.723540074416753,8.94644876192014,9.51831518319985,8.739815302211023,9.64118067043098,8.80288672757354,9.64680939314753,8.943736162010033,9.423627210945456,8.886233167800166,9.292082998330677,8.6957824881659,9.383990157023808,8.77007779997309,8.94106905474666,8.81133484014416,9.14164444491987,8.842414344956119,9.218839269412811,8.843402245691502,9.458226161783053,9.15173959672768,9.531536796727144
6,9.0600549229437,9.30087666336627,8.789648760837208,8.842110216668763,8.686610196458023,8.967037714700899,8.688097062846452,8.86495328436034,8.734709117712285,8.979753086658135,8.720399665366418,9.014942384485295,8.771281336465524,9.03361876064285,8.499271515829323,9.41548587689433,8.658592888761294,8.969893104307468,8.587223774614554,8.936562687922827,8.640261581822728,8.807679299148473,8.731624157736434,8.548027148808382,8.791531390345614,8.657484061222268,8.803518950692991,8.812525142612158,8.509195305268737,9.289090000158348,8.686573394017056,8.895427777498263,8.56561248090077,9.239766882837992,8.635488067952325,9.077581112669279,8.708119279188073,9.075216823687862,8.708617673524879,8.883962522003557,8.657109497270797,9.189736455287825,8.624951827967177,9.268634009127165,8.752720990212403,8.870277618278948,8.653049889988782,8.972753299939795,8.583539219185607,8.904842907276361,8.542687159704382,9.250443102034021,8.603532879479447,8.921884262970764,8.558009916115578,9.192999502023605,8.737440070610555,8.825654360747988,8.748636371446821,8.957935217639944,8.783403120101397,8.960943112283157,8.806377432794978,8.895927838994643,8.725299786611238,9.113465727241158,8.745582629528405,9.100962005360556,8.67490002463118,9.385429264556244,8.737609705890668,9.11664023922554,8.742270260488876,9.152801856578755,8.782054743798017,8.683869287399817,8.697136056356388,9.249719346996491,8.639847728390082,9.296093445800086,8.674796612227864,9.129554862034878,8.627613495479197,9.411550577780025,8.682788460960094,9.276851899606536,8.667517821230133,9.382216184133467,8.582278793896764,9.392891054171425,8.560587435698325,9.615833449887592,8.581015455977004,9.546332447922687,8.608251681226063,9.373304359813911,8.547152685403898,9.512668848326449,8.890555015470916,9.679999774989591
7,9.74849206074586,10.417959837691765,9.53017689477405,10.261098897789466,9.286060415777946,10.240579626571977,9.375000452051964,9.675879041340613,9.407276447852935,9.769698544503715,9.267383322666307,10.212308654816125,9.427289507382309,10.045600336471571,9.517020463359332,9.539617467437239,9.33380651241901,9.858487940825006,9.348916474567586,9.682211193620189,9.276050522679684,9.87028146642964,9.278566093295693,9.972739493704902,9.31052695351135,9.757649196589316,9.287069677975046,9.545392176507569,9.046150936742228,9.652526347882787,9.01622691051768,9.76181448196447,9.111322461767815,9.553595007175483,9.1197560480645,9.791463321965447,9.309522668931033,9.606688814173571,9.295682448999925,9.675946674727088,9.216257456338198,9.506656049177188,9.254514601148227,9.363516799308913,9.16874183402201,9.459693594057327,9.13012792725609,9.778818035369898,9.30533744173019,9.345447697091613,9.432630202571255,9.370502141517882,9.411085507911352,9.236088099497438,9.177584963862445,9.930282124974022,9.2264199856764,9.64553780737134,9.231595718034049,9.626277892621996,9.288574737231249,9.554279985949474,9.180366095494062,9.601721399501677,9.283117989960202,9.605464239817442,9.211478674340157,9.826265804066132,9.24572262567498,9.629188191782989,9.282715043647872,9.372905306925622,9.241809181318139,9.639126901676656,9.104773215135841,9.79851078304618,9.2766161937944,9.615053859697117,9.168156232892693,9.876025400307276,9.272210559056138,9.488709457751963,9.298612873747691,9.724947761262651,9.250451611301578,9.695343768989149,9.261791518395379,9.66585688483573,9.096611479687358,9.741495603565808,9.208132465085624,9.905270097184788,9.223175684702243,9.474783005987891,9.26944306144009,9.456828024390886,9.336805217764397,9.582673563353886,9.594674260360792,9.807656302443558
8,9.187614210980065,9.384569206707111,8.90020298224618,9.38170623060344,8.827784974106809,8.954984428715665,8.87899959994543,8.901936675669086,8.889004615527053,8.995743801942027,8.8711545526857,9.110758613599945,8.834697228467162,9.109239817025431,8.93588101292031,9.140596028093727,8.927386445875888,9.200238494605943,8.92075215554247,9.166222784285711,8.854499986876387,9.379649384473627,8.75733257399811,9.438108374660008,8.829561043651363,9.126569626356066,8.90265413454334,9.095537747740785,8.902568937299423,9.11272715329104,8.920755975139167,9.076669076462503,8.876284722910667,9.147800477971268,8.788546168587251,9.26775871399491,8.908574900051528,9.156635389652358,8.92673069984905,9.073237728712103,8.783886995778918,9.280408903284407,8.853451247848831,9.078007828625754,8.91124113973976,9.323063532418297,8.812798095078369,9.669533260024245,8.838182320078012,9.647290596817223,8.821105346853825,9.645016072648374,8.790396924936031,9.585641701752916,8.922739983845974,9.431766698533432,8.875148150179369,9.664496155879784,8.809220476834563,9.986483679833352,8.90215859620782,9.85597863850128,8.992114340355204,9.582603938835327,8.868757231208889,9.58717679823277,8.960074949818708,9.669995426307935,8.883143813901247,9.763193476515282,8.85067352217605,9.841825308622932,8.853640992023639,9.62989496441997,8.692861753851455,10.178953935945248,8.783858763910331,10.12168677651255,8.822769804495257,9.823093558013296,8.895044066838361,9.72016065866918,8.816533746445984,10.052763083375412,8.85494757212514,10.237896559720037,8.821153546191432,9.748773322210747,8.888207633209358,9.453725876374014,8.888437546763301,9.667710371932271,8.871272965581337,9.369098281973564,8.817604155152635,9.298219618732517,8.870811467849208,9.538290691298862,9.188362559245412,9.865692031796284
9,8.766669719048219,8.815700626502373,8.46743280290447,8.837026945748004,8.462279805324432,8.606709824479454,8.491698572105228,8.69806373086859,8.429714162576301,8.865980677658447,8.470593193773153,8.741140109462666,8.456657565353876,8.939201297193856,8.564456364127365,8.409352047170493,8.411768722803654,8.838594934400241,8.392916715659377,8.895063882727563,8.49104378400752,8.88795173197673,8.457707458826404,9.14435104714521,8.563029551583039,8.682100517681437,8.539777591850992,8.590927607999536,8.496975656105677,8.65173766128859,8.423015949120119,8.88657427717949,8.465317187111634,8.677981235943344,8.457590526754856,8.587727281497095,8.561927919428136,8.467030157951227,8.440432714879417,8.782606071910322,8.528030868113094,8.978312343141226,8.423185330074096,8.942877236135612,8.331135135182475,8.933866325921127,8.264615300004406,8.888541932999901,8.333178882723459,9.151375392811062,8.312151471661359,9.352326872524179,8.247143714625244,9.077526793727849,8.217480298244507,9.291453135763367,8.340130627814762,9.309750024795122,8.299104177449337,9.151272379255124,8.249558171809205,9.170874525342898,8.372847650027484,9.210657925491024,8.333940158893547,9.19590012869241,8.363551308907779,9.165897034317936,8.257858310691299,9.372229738810278,8.246450872806841,9.316506747557138,8.328359922722496,9.176850308626532,8.396500666359925,9.034455444000557,8.215486703111637,9.468756837189433,8.191488908393193,9.537899952035625,8.247898989709089,9.388306715767408,8.236451208296218,9.19816710571344,8.114921485046946,9.323837369770919,8.25895379831169,9.314867748145373,8.310319297367231,9.079984573606765,8.404384568817251,9.232808880207013,8.331125572088805,9.120394770423289,8.250564970831512,8.957807459984918,8.195938616051166,9.250396066954847,8.574502393346375,9.209124508753186
