K159;021;022;u021;051;052;081;082;111;112;421;481;651;652;711;712;713
2019-11-01 16:00;140;108;105;33;13;115;106;77;75;3;5;40;18;70;58;17
2019-11-01 16:15;114;99;100;48;24;128;111;73;73;4;7;47;29;75;53;20
2019-11-01 16:30;130;121;113;34;21;103;98;84;71;5;4;44;25;88;63;14
2019-11-01 16:45;136;124;113;43;16;137;130;77;89;5;11;59;20;74;71;21
2019-11-01 17:00;108;101;92;48;20;124;114;82;82;6;5;44;23;87;69;21
2019-11-01 17:15;97;86;89;32;21;129;114;88;98;6;9;48;26;90;82;16
2019-11-01 17:30;113;103;105;31;18;126;114;74;75;5;7;42;26;68;68;13
2019-11-01 17:45;111;91;98;46;19;109;94;85;102;2;6;48;24;81;80;28
2019-11-01 18:00;92;78;93;38;16;104;90;84;81;4;7;45;26;65;66;15
2019-11-01 18:15;106;91;87;31;9;113;101;61;64;6;7;39;18;67;60;12
2019-11-01 18:30;95;89;95;33;15;102;90;67;63;3;5;41;20;63;46;17
2019-11-01 18:45;93;73;74;25;9;92;79;73;69;6;3;31;15;65;61;14
2019-11-01 19:00;91;80;83;31;11;71;64;62;51;6;5;41;14;59;38;16
2019-11-01 19:15;76;70;81;18;10;80;67;53;50;5;7;20;14;41;39;10
2019-11-01 19:30;77;69;71;30;9;63;57;42;29;9;4;33;15;36;27;6
2019-11-01 19:45;56;47;57;26;7;78;66;54;41;0;6;31;13;45;29;12
2019-11-01 20:00;69;59;59;19;4;67;58;45;29;2;1;26;6;38;17;14
2019-11-01 20:15;61;58;53;16;4;65;58;43;24;0;2;22;8;43;20;5
2019-11-01 20:30;52;43;46;13;2;57;53;31;19;4;1;19;6;28;12;6
2019-11-01 20:45;58;51;50;17;2;65;57;32;23;4;6;22;8;32;18;6
2019-11-01 21:00;63;57;56;20;2;51;47;35;17;5;4;22;6;30;12;7
2019-11-01 21:15;57;47;49;19;5;47;41;31;15;2;5;24;5;31;12;5
2019-11-01 21:30;51;40;40;13;3;46;40;36;25;5;7;17;9;35;16;7
2019-11-01 21:45;39;34;30;14;2;43;32;23;11;4;5;18;8;24;7;5
2019-11-01 22:00;38;35;37;17;3;44;40;29;20;2;4;18;10;27;17;3
2019-11-01 22:15;47;42;44;25;6;54;50;30;16;2;3;29;8;25;12;6
2019-11-01 22:30;54;48;48;13;2;71;62;35;28;0;3;20;10;37;24;6
2019-11-01 22:45;40;33;32;18;4;53;49;34;27;5;1;21;7;33;21;6
2019-11-01 23:00;44;42;46;11;1;50;44;45;26;4;6;14;3;40;23;4
2019-11-01 23:15;37;36;34;16;1;53;44;28;22;3;1;20;0;24;19;4
2019-11-01 23:30;40;34;31;10;1;34;32;31;15;5;8;11;2;29;12;2
2019-11-01 23:45;48;36;34;12;2;35;30;30;13;3;8;16;8;33;14;1
2019-11-02 00:00;31;28;29;11;0;44;44;21;9;1;0;17;8;20;7;4
2019-11-02 00:15;34;31;30;15;1;37;33;24;12;2;1;15;3;22;7;4
2019-11-02 00:30;31;25;26;8;1;24;24;20;6;2;1;8;0;22;5;1
2019-11-02 00:45;18;13;19;8;2;30;30;16;5;0;0;9;2;13;4;0
2019-11-02 01:00;15;15;12;6;2;21;19;22;5;0;0;6;4;20;6;1
2019-11-02 01:15;21;19;20;9;1;20;18;12;3;0;0;8;4;13;3;1
2019-11-02 01:30;19;18;18;0;0;22;21;13;7;0;1;4;2;11;6;1
2019-11-02 01:45;23;18;18;10;1;14;13;16;3;0;0;11;2;15;1;3
2019-11-02 02:00;21;15;17;2;1;12;13;11;4;0;0;1;2;9;2;2
2019-11-02 02:15;16;14;10;6;0;18;17;5;2;0;0;4;3;5;1;1
2019-11-02 02:30;11;11;12;2;0;11;10;9;2;0;1;3;1;8;2;0
