K405;021;022;031;032;041;051;071;081;082;091;101;111;641;651;661;681;711;712;721
2019-11-01 00:00;30;12;17;1;8;5;5;44;11;2;2;4;12;4;1;7;21;10;0
2019-11-01 00:15;24;14;11;5;7;1;2;29;8;3;2;2;7;2;0;3;10;9;2
2019-11-01 00:30;20;6;12;5;1;1;3;20;3;1;0;4;3;1;1;3;14;7;2
2019-11-01 00:45;22;1;4;2;1;4;1;22;4;1;1;2;2;2;2;3;5;3;1
2019-11-01 01:00;17;1;11;0;4;1;0;18;0;0;0;2;8;3;0;5;12;6;0
2019-11-01 01:15;9;3;12;2;2;3;1;15;3;0;0;2;3;3;1;2;9;10;1
2019-11-01 01:30;18;4;6;1;2;2;0;17;1;1;1;0;1;1;0;2;7;3;0
2019-11-01 01:45;12;0;7;2;3;0;0;10;0;0;0;1;6;2;0;3;6;8;0
2019-11-01 02:00;11;3;4;0;2;2;0;10;1;0;2;1;3;2;0;1;3;2;0
2019-11-01 02:15;8;1;3;0;1;0;1;11;1;0;0;1;1;1;0;0;2;3;0
2019-11-01 02:30;8;3;3;0;2;1;0;12;0;0;1;1;4;2;0;2;1;3;0
2019-11-01 02:45;3;1;3;0;1;0;0;8;2;0;0;0;2;3;1;0;4;2;0
2019-11-01 03:00;6;1;3;1;1;0;0;18;0;0;0;0;1;1;0;0;3;3;0
2019-11-01 03:15;9;2;1;0;3;1;0;14;2;2;0;1;4;1;0;0;1;0;1
2019-11-01 03:30;5;1;1;0;0;0;2;16;1;0;0;0;0;0;0;0;1;0;0
2019-11-01 03:45;4;0;1;2;0;2;0;10;1;0;0;0;0;2;1;0;1;3;0
2019-11-01 04:00;11;3;2;0;0;0;2;6;0;0;0;0;0;0;0;0;2;1;0
2019-11-01 04:15;7;1;0;0;1;1;0;8;1;1;0;0;1;1;0;0;0;0;0
2019-11-01 04:30;10;6;2;0;1;0;0;9;0;0;0;1;1;0;0;0;3;1;0
