train_score_1,test_score_1
7.831705817896781,8.186402795480971
7.7602812392369405,8.794916607603117
8.025153006932953,8.965566024863158
7.790146850501202,8.688011866222173
8.104907376039659,8.531600645424191
8.06060908925464,8.723429709172102
7.701959771653935,8.475765825008349
8.012226234325661,8.6156879913071
8.102316150976572,9.17807736015997
7.806289376447399,8.307781420735536
7.996178860365085,8.522942111328241
7.685601149916716,8.41720420265259
7.710133124609621,8.471546728226022
7.584287522376517,8.563743649420546
8.198142532930659,8.55145049754981
7.720467581618418,8.268018462000976
8.102901586744448,8.52120948343441
7.6346137888393395,8.266408276691724
8.249865301294284,8.737501655829634
7.642395350823416,8.420232239128312
