train_score_1,test_score_1,train_relative_error_1,test_relative_error_1
4.707739807506237,4.323674054513414,28.368062822845346,29.80837230969019
5.226322132856057,4.7157053718905795,39.83647173574502,36.089791232722796
4.776104046707206,4.360850784187923,28.05309688567672,28.36327455021656
4.732068426318099,4.355217934845153,28.70843767452109,29.282291544008363
5.130508453299748,4.557109650973631,29.8995072240216,29.10161059900005
4.732675874906279,4.230700589263205,29.782758186468037,27.14247253209758
5.084418188918665,4.380355011629132,31.094979936513102,29.808144978130688
4.893170038909647,4.273808216456831,31.76159640218162,28.30463321830874
4.759010321303344,4.171545835409872,33.17222295325879,28.09317858386366
4.844716375583444,4.233979240696732,32.46220031707805,27.639602564508817
4.805112032332536,4.261518821917507,28.19204603243283,27.73299085949291
4.850078799604776,4.479829006204453,29.22778388769101,29.08278005410186
4.78418947251667,4.149146206963683,31.447841229652116,29.08661719067488
4.890630864103486,4.422231216607537,31.456513415811465,28.741014217759865
4.896767799662303,4.11392127373141,30.788620415286513,29.25163615745087
4.926329201620426,4.3941714357885635,43.14655719429508,34.62562525007103
4.791586204774991,4.290960536387776,28.58074660445711,27.465058957987917
4.660912954988953,4.192618100898738,31.705150621054685,28.441700907223908
4.752935184158802,4.1953781045409135,28.099649131691194,27.99635250290385
4.648522902089987,4.187546009565966,28.297484560379452,29.038006836907606
