train_score_1,test_score_1,train_relative_error_1,test_relative_error_1
4.283619685082517,3.8628416181972045,34.538243289216,28.67239840859787
4.253594517441475,3.89278062936056,28.46850825988745,29.086147103569903
4.246186100736114,3.898575491477749,30.651570344943494,29.312895137892372
4.351275962075858,4.1576577099497545,28.41513122552072,29.793312535047104
4.240658710495077,3.8414084780732503,28.97004094032472,28.57717952545339
4.319945631447033,3.871925923404372,29.803857953197614,29.006135412972945
4.226092841710779,3.8424833037037134,31.921115324791778,31.56710562264887
4.3070865326223435,4.040692493174087,32.17647656737071,31.603499109359745
4.296680227737179,3.8707326088382152,32.20961851006621,29.848501046771524
4.274730828936681,3.8190322875197724,28.95253105795006,28.74561983266949
4.261241231024602,3.9568286684384613,28.476960667676217,28.20701188110556
4.2206740497877675,4.004113159867876,29.888843795096264,29.243479599656233
4.318896062979587,3.8697367911382057,30.48529565184927,29.403618766193212
4.2521289767625,3.808466100781527,31.676156433460353,28.87406357380865
4.2454167958493105,3.8659578030920536,32.14944376148851,28.7098864764236
4.259328391665285,3.857676930337709,28.247793057615837,27.90650074876877
4.289324774141424,3.805180589732915,30.444993680382627,28.549001358596293
4.209590795948534,3.837627066170288,29.50862367397154,28.34645838578861
4.289424941129483,3.8148164534782403,31.7747278172104,28.768017733502433
4.373682820742354,3.812233222637768,30.80738020603043,29.005444166636693
