train_score_1,test_score_1,train_relative_error_1,test_relative_error_1,train_relative_error_with_zero_1,test_relative_error_with_zero_1,train_score_41,test_score_41,train_relative_error_41,test_relative_error_41,train_relative_error_with_zero_41,test_relative_error_with_zero_41
6.899178958691306,7.668841581981006,29.085979226815127,29.452247936233356,43.268922035792784,40.96514076066735,7.849145290467364,8.213451313901308,29.226832397768852,28.95034054093421,43.34512963243981,40.49711482073743
6.618580740055554,7.617265830023888,28.826443946502756,28.8032309484948,43.030923748296644,40.35993591897384,7.298106760809448,8.371412962243632,28.466645194743844,29.22892678204559,42.64778923981829,40.756894988491254
6.893227590061264,7.545881472562775,28.322948268517006,28.196174034943212,42.56920960685853,39.793858620219154,7.910828473568047,8.193464981137984,31.259520668801134,30.23199026871575,45.20976985705589,41.69224628148899
6.763799047671406,7.678389050764662,31.62316086218344,31.68514059885569,45.59556095577924,43.04730112924207,8.414737492968905,8.360548001596408,30.11605969014111,30.32680634444045,44.160842007924565,41.78066176087255
6.942589655800159,7.568425784380025,28.481866616374816,28.21853355016581,42.71494044775367,39.81470874760609,8.001618451766342,8.482496593933377,33.03038043611306,31.14913801054213,46.834227675473436,42.54748160566082
6.853863632148413,7.525617725310002,30.348988573089024,29.60094363110447,44.427123191115655,41.103798694396566,7.9486680023335206,8.422792951206935,33.22501623464545,32.16489496460357,47.012772386074566,43.49466948856025
6.982731920912163,7.743930467030896,31.44614393022811,30.207260018090132,45.43323340396246,41.66918545612129,7.954216663308747,8.349314802671875,30.553891625266132,30.40838685348824,44.562477147699845,41.85673514569345
6.676703339738381,7.598398245841674,27.60274505288499,27.87572592805571,41.90877094987383,39.49504248834009,7.600983045561657,8.11028282507185,30.43886426293467,30.030619997415815,44.45695942036734,41.50446958925094
6.7443033050835535,7.560692688918309,27.63656100799286,27.69732086124369,41.939780758621346,39.32868072546311,7.2321846236679495,9.149736406334577,31.797291645683483,32.65075659812544,45.7030817974139,43.947732842148454
6.59001969356909,7.547403623004491,29.24872645962641,29.28024057242387,43.418164029625785,40.80474482134508,7.848357361553074,8.202251103335831,29.371037850694737,28.952265334219167,43.4774132156958,40.49890968009755
6.837997897507217,7.477304310706754,28.526892858581178,27.979310053559047,42.756230281353936,39.5916341268666,7.7915427848761984,8.676395490194624,34.0146509123708,32.72768921802246,47.73712574798515,44.019472095396786
6.830963288047347,7.624848627258441,28.380358418018464,28.352079223712927,42.621855695089,39.93923936813662,7.524896621594044,8.33476550293475,29.063628569020477,29.259757535951614,43.1954183224311,40.785644500275225
6.8013539129328695,7.61842650351604,33.046356057382226,32.47478411577565,46.9006552721373,43.78363945116649,7.801984625070654,8.277543260391075,29.19180912819865,29.8278868433534,43.31300183489758,41.31542201618525
6.55552753492705,7.766580159494543,29.221626133172414,29.353242266858597,43.39331256712374,40.8728185077946,7.630340806126713,8.883710670101042,29.236726862225755,30.874932412194163,43.35420609374,42.29178636366431
6.865791718258962,7.594375870377288,28.51467605031179,28.862687570821365,42.745027259386056,40.415378898714884,7.974968572280269,8.174397513627092,30.520070222048425,30.038337416013615,44.53145185484436,41.511666040482574
6.732258833149737,7.543907658042947,28.812426266163072,29.00693182355218,43.01806929586342,40.549885886649555,7.2802970186412646,9.984987854140673,28.616709582831678,31.750563497368024,42.785447383616635,43.10830762935734
6.720537463880921,7.597393092167236,28.690175376230766,29.04375876526223,42.905963140531675,40.58422681123051,7.820669881169784,8.533636495600962,29.70106906901512,30.053351635068836,43.780159826589916,41.52566671879784
6.678389048150312,7.643150389579337,30.314445102759315,29.599807762365998,44.395446238476474,41.10273950292231,7.817444943129481,8.598539952590764,30.757623170259084,31.38005661278062,44.74936563386409,42.76281195718027
6.67703720405124,7.545054387755115,27.408780771186773,27.933120446770083,41.73090238871315,39.54856256758122,7.363509702449681,13.109455593947366,28.342028032851758,33.804450321197066,42.533474528579525,45.02354601842179
6.8572544550953864,7.691546229783378,27.924493222583695,28.068800070383936,42.203819520153566,39.67508308504314,8.227198374481093,8.4286122240665,30.023695399100014,29.777222703560664,44.07611373214919,41.26817797899967
