,0
test_score_1,9.087236098608201
train_score_5,9.265654239408908
test_score_5,9.720821844275113
train_score_9,9.733367209750993
test_score_9,10.155744301095284
train_score_13,9.320436172551174
test_score_13,9.704382812488152
train_score_17,9.316869460977498
test_score_17,9.779761045271282
train_score_21,9.072772884574846
test_score_21,9.701353672109159
train_score_25,9.06500096451701
test_score_25,9.800087290925756
train_score_29,8.819113081645273
test_score_29,9.568587355199082
train_score_33,9.148201973236718
test_score_33,9.509196965264602
train_score_37,9.294158195615532
test_score_37,9.707529505688601
test_score_1,9.325010182339717
train_score_2,8.735603030658087
test_score_2,9.088508247578611
train_score_3,8.66560964010078
test_score_3,9.043456534876293
train_score_4,8.67981995953449
test_score_4,8.96255740738136
train_score_5,8.688271113208637
test_score_5,9.005551348414935
train_score_6,8.722991501902156
test_score_6,9.014115341868724
train_score_7,8.729051829806725
test_score_7,8.93936262443622
train_score_8,8.719548270650098
test_score_8,8.817092892037806
train_score_9,8.732100599079304
test_score_9,8.9170195173524
train_score_10,8.729629456649128
test_score_10,9.014090398250644
train_score_11,8.746254397964027
test_score_11,8.972711659854154
train_score_12,8.712290958729417
test_score_12,9.060538892754813
train_score_13,8.765285698805922
test_score_13,8.911543075953336
train_score_14,8.738045477717773
test_score_14,9.041722398216484
train_score_15,8.772024952471726
test_score_15,8.961721634208908
train_score_16,8.744965350923545
test_score_16,9.012105643177875
train_score_17,8.755108417580697
test_score_17,8.969894332924643
train_score_18,8.720867167689459
test_score_18,8.935482273649097
train_score_19,8.69326176293707
test_score_19,9.022316011358985
train_score_20,8.726284732738502
test_score_20,8.972445026615935
train_score_21,8.737614502204867
test_score_21,8.903640990170476
train_score_22,8.729446354411667
test_score_22,8.984565137381678
train_score_23,8.761130629190754
test_score_23,8.849938261038464
train_score_24,8.700809994227441
test_score_24,8.941577730796478
train_score_25,8.691071740168642
test_score_25,8.91524148044422
train_score_26,8.706268552630021
test_score_26,8.937234747538577
train_score_27,8.727634670054204
test_score_27,8.917136574195045
train_score_28,8.701619801034019
test_score_28,9.013721130144827
train_score_29,8.707332282958802
test_score_29,8.990840434547085
train_score_30,8.682361394811547
test_score_30,9.013335358200123
train_score_31,8.683474626128397
test_score_31,9.128807212549148
train_score_32,8.754533636996273
test_score_32,9.066076818272705
train_score_33,8.711413762539198
test_score_33,9.264436982192413
train_score_34,8.720519502143182
test_score_34,9.297595314758755
train_score_35,8.741278410621437
test_score_35,9.226608727465853
train_score_36,8.722353965963629
test_score_36,9.310307622823306
train_score_37,8.76183572762943
test_score_37,9.264810493322637
train_score_38,8.766577392801754
test_score_38,9.22825781106631
train_score_39,8.72591339035292
test_score_39,9.248445798168172
train_score_40,8.715873329193746
test_score_40,9.223451615969932
train_score_41,8.705651209306405
test_score_41,9.220887505364146
train_score_42,8.724239334062322
test_score_42,9.170509228038586
train_score_43,8.710708063680364
test_score_43,9.174123285016453
train_score_44,8.684779305651286
test_score_44,9.193624190090661
train_score_45,8.688481805022276
test_score_45,9.129562714657727
train_score_46,8.721156820255
test_score_46,9.089212190819335
train_score_47,8.658118080521852
test_score_47,9.204892604421138
train_score_48,8.687269680672367
test_score_48,9.138990803596075
train_score_49,8.68723653593224
test_score_49,9.324996683779402
train_score_50,8.856434611021646
test_score_50,9.547618808157631
test_score_41,9.556860437516296
train_score_45,9.545531992685335
test_score_45,9.96500520680199
train_score_49,9.660185248446862
test_score_49,10.253149016945603
train_score_53,9.708629715186566
test_score_53,10.219161900112221
train_score_57,10.742932181619645
test_score_57,11.268431228419619
train_score_61,10.235017423645221
test_score_61,10.714111242379431
train_score_65,9.471577463135048
test_score_65,9.775319993933369
train_score_69,9.411456669017335
test_score_69,9.9791045814146
train_score_73,9.081538405199156
test_score_73,9.442629640433566
train_score_77,8.937705286941688
test_score_77,9.77687825509258
test_score_1,9.04349135795945
train_score_5,8.838029938005182
test_score_5,9.423445773153603
train_score_9,8.997884639398773
test_score_9,9.509064152126573
train_score_13,9.187149811190796
test_score_13,9.944291038967496
train_score_17,9.260653466101889
test_score_17,9.555017813074247
train_score_21,8.903909642278222
test_score_21,9.382604712361864
train_score_25,8.93810278110164
test_score_25,9.484494833151718
train_score_29,8.963666692770932
test_score_29,9.491769825919405
test_score_1,9.113029764480235
train_score_5,8.622064956068147
test_score_5,9.4344227923006
train_score_9,9.370451281304684
test_score_9,9.85998675123863
train_score_13,9.245271732574784
test_score_13,9.690911761039791
train_score_17,9.57419459894807
test_score_17,9.984203453744872
train_score_21,8.978650549634535
test_score_21,9.657334628533214
train_score_25,8.960670824238921
test_score_25,9.610678289558546
train_score_29,8.942781821695572
test_score_29,9.60851278318878
train_score_33,9.074140551354521
test_score_33,9.59159480810164
train_score_37,9.225577445859368
test_score_37,9.54989886330075
train_score_41,9.131747966460377
test_score_41,9.66998371923901
