train_score_1,test_score_1,train_score_5,test_score_5,train_score_9,test_score_9,train_score_13,test_score_13,train_score_17,test_score_17,train_score_21,test_score_21
7.37024805867508,9.512516749819968,7.965862349868847,8.524009165916612,7.738565097498117,8.98977336939328,7.746693744729056,8.824908581733036,7.830910637604663,9.034611900839845,8.044124692226728,9.551227573178686
8.02293148419371,8.84442036739526,7.4439750007493615,8.881620987974024,8.445554688805093,8.75895506119372,8.242303156132502,8.77728945328395,7.8136767281133395,9.220199298318006,8.119426130490938,8.937881318543356
7.654674004615784,9.107884014237042,8.116175353402287,8.687753981154698,8.320847555442286,9.058120097259561,8.159302501580822,9.390493001238504,8.086737982106435,9.889180555342133,8.175736491448443,8.605320171709801
8.593735467576545,9.723432620820931,7.931212644913079,9.8935550919119,8.362287494482235,8.921606080942638,8.234661030350166,9.122864791680433,8.59412277181371,9.449256897388032,7.7815136331319374,9.246501553236635
7.928076700289229,8.763084114192411,8.6341670709556,8.983225082482631,8.922956383846955,9.199120885184414,7.849101218358914,8.823632628902756,8.082874812778668,8.428080144576787,8.043180310630536,8.93392674654122
7.9671623490639725,8.833697470920377,7.522552477598045,8.881952709221075,8.605102052875132,9.557843286076483,7.552892345574928,8.817573884825928,8.132851595635515,8.6054541014254,8.685638628439882,9.84032487720967
7.714974937762557,8.024810081542128,7.885858671966593,9.207401842536555,9.282503987541606,9.577281976531143,8.653151925603904,9.32904172500204,8.22164165831119,9.479029183485798,7.895306945276638,9.369941575774433
7.6887360602891786,8.58703219527233,7.808044350119342,8.787559255647645,8.157082661793613,8.887795014731763,7.973953911828547,8.666658751484974,7.578525950171441,9.560139057305438,8.068643430764837,9.364488988117461
7.406366942391805,9.349951955148544,7.8683134907438035,9.31516273689564,7.5675626287744,9.063149204474442,8.395424715861356,8.882558628066235,9.073290523796345,9.460749793617556,8.217226914352445,8.910981191507204
7.531121722606838,9.427968487203376,8.323287292819332,9.40515037930998,7.998552385454939,8.338474511046702,8.735978106041204,9.023403914596615,8.30132467494764,9.648128766057576,7.706237065083947,9.380811056244847
7.727444393156458,8.755472504235106,7.789075094040273,9.55174389669681,8.238271984108623,9.151934041130978,9.000948943459907,9.774368387896212,9.630335675643744,9.862682336831785,8.114680688089035,9.477900059039934
7.898669582716403,8.955434798576881,7.8526733985125405,8.582074633987899,7.631129881167983,9.455554892455055,8.556511638284315,8.559542082384766,7.8151567617022195,8.539067647367261,7.8778370519981875,9.151784312859297
7.84193842229043,9.070725222284711,8.445204770367697,9.5024940364409,9.116146243796592,9.983591641904926,7.750644622140032,8.833077802956145,8.177372136833688,9.641540185645603,8.212008269290925,9.353155727201738
7.98080680765073,9.277031566521515,9.098607520215651,9.247500195108808,8.280712441056808,8.683293980688289,7.99064250287745,8.638524237987468,8.09014118643589,8.557542135906777,7.819086503583409,8.463491402739407
7.603463253278907,8.775289729369163,8.025368736123543,9.364417896401912,9.300564328675758,10.072639303635507,8.71202795592233,9.151161849971812,9.386304954672028,9.718407146384727,7.985133401274088,9.544755120343206
8.013555969204331,8.702298719765107,8.239370435229244,8.628345021351373,8.171189676953793,9.088472388581533,8.34340866741684,9.448692511757367,8.025092044649012,8.869417506143357,7.585670135659249,9.063431277901119
7.784240250925294,8.709062556489306,7.607038174064607,9.14080368684305,8.375092175789005,9.538497254498925,8.069002283349793,8.321839724449857,8.328800693081089,8.581795165277898,7.951334771796042,9.064597841858587
8.130300529619017,8.471861378710868,7.691715256266353,8.750028283668048,7.695786812009692,8.681129000819986,8.669907373534285,9.110942092209402,8.323218770941622,9.564440454338744,7.994478269043345,8.400690088365009
8.045306962883679,8.466457980728507,7.931109304925216,9.07167051982163,8.986723589133351,9.810918772213675,9.18998891631076,9.839439081869918,7.783850885482618,9.283478003201285,8.238404942128382,8.658546244555575
7.911146532968946,8.697140523069692,8.359269349170205,9.708671518933295,7.8976811301370695,9.625278236437781,8.150669875225073,9.280538727451237,8.444494759936491,9.212218182710172,7.699615847237398,8.362510132685854
