train_score_1,test_score_1,train_relative_error_1,test_relative_error_1,train_relative_error_with_zero_1,test_relative_error_with_zero_1,train_mape_1,test_mape_1
6.667298657218149,7.762738136167473,26.735878187371437,27.576328407028427,43.33246019371187,41.07740676791987,984435864371200.0,1013727310643200.0
6.767572652425242,7.6941775152131235,27.591799143541635,28.211235278559904,44.18838114988205,41.712313639451345,863510567321600.0,858900188364800.0
6.851965384246155,7.474204073674554,28.153057197682372,28.13692278810111,44.74963920402279,41.63800114899255,1023672005427200.0,912316589670400.0
6.341106285076492,7.759646527552494,25.567716842574555,26.79914306653353,42.16429884891496,40.30022142742499,934224488038400.0,937225407692800.0
6.764170426692835,7.657051097308201,25.934146522868286,26.641741181318867,42.5307285292087,40.14281954221032,1190993382604800.0,1151157770649600.0
6.525290973636074,7.7413877898558505,25.19997483042292,26.169046579446704,41.79655683676333,39.67012494033814,1167397486592000.0,1175374423654400.0
6.592757522184439,7.5371748436661505,26.256838079486222,26.904324271841112,42.853420085826635,40.40540263273256,1003814073139200.0,1027262224793600.0
6.518859582180117,7.66873401178793,25.24416729534228,26.255482756953473,41.8407493016827,39.75656111784491,1021056122880000.0,1095398798131200.0
6.789240279064006,7.595695504565,28.618851985371663,28.557690939821796,45.21543399171208,42.05876930071324,1149100988825600.0,1143456189644800.0
6.840558213688951,7.4955535133645075,27.978751577293075,28.243463177132128,44.575333583633494,41.744541538023576,910122129817600.0,902715303526400.0
6.72511583125127,7.650416652535015,25.45818128584128,26.312301694648347,42.054763292181704,39.813380055539795,972835782656000.0,985830680166400.0
6.645324894327027,7.559020717836557,25.180340379284694,26.25221774641919,41.77692238562512,39.75329610731064,1055581955686400.0,998236697395200.0
6.9488475572483175,7.740617250204465,28.953752890124473,29.213736878908797,45.55033489646489,42.71481523980024,1050147500851200.0,1037687167385600.0
6.830662921756185,7.682833911369466,26.07582558822599,26.850792003156084,42.672407594566394,40.351870364047535,1080553059123200.0,1017048360550400.0
6.8004624565430785,7.557526655383674,25.72955624949306,26.224542728324103,42.32613825583347,39.725621089215544,1030420955136000.0,1015095387750400.0
6.89016300767168,7.690606221978492,26.396741319277904,26.569184183818734,42.99332332561831,40.070262544710175,1076737710489600.0,1129873879859200.0
6.592604451742854,7.711212482736351,26.210023750818895,27.078263279236513,42.80660575715931,40.579341640127964,854846445977600.0,815354085376000.0
6.853037271798114,7.533850539706091,26.111092461041835,26.808123246586703,42.70767446738225,40.309201607478144,1228467706265600.0,1155012021452800.0
6.792086973479338,7.562077240666962,27.926851246251093,27.79657744610847,44.5234332525915,41.29765580699992,1024556374425600.0,1026996725350400.0
6.620328523427836,7.891120165339776,26.207853304154,27.34440006312566,42.80443531049441,40.8454784240171,940987908096000.0,961609937715200.0
