train_score_1,test_score_1,train_score_5,test_score_5,train_score_9,test_score_9,train_score_13,test_score_13,train_score_17,test_score_17,train_score_21,test_score_21,train_score_25,test_score_25,train_score_29,test_score_29,train_score_33,test_score_33,train_score_37,test_score_37,train_score_41,test_score_41
8.399610569097241,8.844403453804842,8.582280726498013,9.427187531816688,9.619233792899097,9.812645105626698,8.59145124841342,9.264162190842095,9.327091449074382,9.493868801042035,9.057897854431014,10.063240705521757,8.707946287853762,9.777384054108694,8.780075985691289,9.530003903653075,8.82080372283676,9.414423073975598,9.615011068117573,9.537435546539582,9.967142353023036,10.301585294625752
8.800021316392668,9.18724091909338,8.74954444928423,9.604486662579774,8.910263734357201,9.819429212312382,8.641935839235572,9.329479468553929,8.852782303615099,8.984866488489475,9.153730899651608,9.361542109540249,8.716199032324907,9.488455504058239,8.569510157665995,9.370986813111932,8.981379079806587,9.043495867779793,9.248332197813403,9.539537798931953,8.953635939080035,9.49645240102085
8.552248056465238,9.566662049481407,8.50419460274694,9.025302039429905,9.123455397957276,9.765282849999863,10.167894965594916,10.430738142258733,11.73486708768864,12.664442506345065,8.602484500500266,9.577327593525414,8.848671944628322,9.400185015093006,8.8017612238167,9.589901109900085,9.243926246868693,9.35570223960099,8.77905127400279,9.426397587667088,9.185243965092612,9.670610829192016
8.26024429616983,8.964836264614451,8.487562152452348,9.855574477455578,9.25109255380899,9.853238002827492,9.01343482570619,9.802078176600627,8.408373481219058,9.415218785857862,9.42103489140434,9.530136871252692,8.812041162828512,9.512642688680994,8.678574988483408,9.506622140099362,8.679036739999326,10.300929431190486,8.844070109531685,8.918215213608551,9.016687862272164,9.810561345874747
8.178279837709807,8.721085719376601,8.460403039733714,9.230969938184915,9.443722122855279,9.787928955243975,10.010400496933766,10.064940737986099,10.48078146049161,11.168598062137324,8.776536145424185,9.76932482905976,9.044345486622365,9.492849678048104,8.986310512327746,9.195461672535057,9.304864093377702,9.466551026514894,8.956157259019228,9.23890990819315,9.103664580797929,9.753691917135782
8.204756671184592,9.2525409164796,8.153663145232048,9.476928997730367,9.301033455427588,9.943486881827532,9.273467867197324,9.535065754434788,9.734556547862397,9.961086502933956,8.66793046073439,9.575681306583286,9.225527861790573,9.721148932247651,8.876270124556479,9.464830072237971,8.810868761188297,9.070614866290619,9.300678409537351,9.890104074361533,9.244503866910707,9.944223021808817
9.24081079422646,9.543292584473974,9.09938939176014,9.248149647005384,9.608585981470656,9.708212264708383,9.578366562032288,9.535404295262037,9.356173570722888,9.16971644565839,9.215864126513381,9.731942241917737,9.21051397452224,9.812338497568225,9.609265588947517,10.274690653179103,9.447606984971873,9.95579870428668,9.563818458114609,9.771771488208934,9.1521561228995,9.65985602592986
8.161783568993785,9.113245295885461,8.379807810025259,9.345303442937198,10.382581199728572,10.895995434403345,9.29211608453182,10.194626824799622,9.519406595391954,10.02681484771981,8.647672650899462,9.435658093651886,8.98640535602474,9.565781681154762,9.334433838055402,10.073404452686331,9.023474023881707,9.786893389057152,9.3779082616171,9.47839875268704,8.941073952483153,9.41086763497935
8.439913370740454,8.9790643347496,8.832078394340236,9.73644148930229,9.527645695366413,9.789668365773386,8.884533075837638,9.314848609170799,9.220585445100394,9.647017349029412,9.342183042595593,9.708412876091058,8.969551994736328,9.75322066174516,8.547902668130194,9.724192038136419,9.73848515352178,10.27706295387572,9.904874439469001,10.57878017795632,8.926787785578945,9.36883424014581
8.485402237827639,8.957926106843034,8.971725848608546,9.393883696563893,8.536898879175766,9.22398043966325,8.999116360264907,9.437773410489182,9.107328048314278,9.31040474823538,8.901170924191122,9.820079658188286,9.08550514105746,9.582776182880616,9.243713129281,9.35503497634847,8.690960707092493,9.244476528444457,8.665872981370944,9.119438084853373,8.826583236465687,9.283154481677114
