train_score_31,test_score_31,train_score_61,test_score_61,train_score_91,test_score_91,train_score_121,test_score_121,train_score_151,test_score_151,train_score_181,test_score_181,train_score_211,test_score_211,train_score_241,test_score_241,train_score_271,test_score_271,train_score_301,test_score_301
4.77844250616571,4.772151283867374,5.0412966911737955,4.954801864865328,5.007720847705899,5.101996732290179,4.76206069395141,4.595658793187032,5.081851371729888,4.824123479822731,5.37202735743835,5.23209464471756,4.930109128051496,4.888879325486256,5.526098600269867,5.56654523845676,4.974554822719593,4.974224875858157,5.093180537642738,5.285722868298444
5.010500074676793,4.935703553893193,5.191975361462095,4.8914979775195695,5.094153668837038,4.934863587144505,4.776696135612198,4.721639384689162,6.056996424002542,6.598085022339656,4.9556333699926345,5.134252417461557,4.794536576829479,4.504695635866997,5.554108041925088,5.551763417664458,5.447520274442662,5.491556602024586,5.629111645712112,4.917783175090883
4.629927771997649,4.368282866219748,5.256958739701381,5.14970133907988,5.088510621000788,5.070477290737305,4.845080850696147,4.788441242627257,5.746496468183101,5.43185379815415,5.131166606855872,5.1179827508450035,4.733553966590778,4.722654603500017,5.8256556481599775,6.0589328675439855,5.155181461096644,5.0059457466226425,4.820629587606308,4.7717429941477425
4.554717298312315,4.4899401260824865,5.65005440283733,5.492072547411945,5.194127441481862,5.205939226171787,4.870309350849074,4.65272843301421,4.889082553810639,4.806520108878178,5.3610266529764,5.3271478775328385,4.948946568642194,4.947310799331166,5.090467528024328,5.306984258473621,5.590287789241039,5.367304061895477,5.03266258025306,5.4079811973015
4.668597203663155,4.666321734025582,5.632809352900971,5.357602667405163,5.471422477922905,5.299715599296399,5.037929348013365,5.141374853310291,5.621697521318845,5.349519680617075,5.389056056762958,5.201712462562178,5.072949396663337,5.022771214447579,5.430736021170351,5.536014169912543,5.2481027623439624,5.267683496596666,4.993622848299265,5.036265981515968
4.73500888922599,4.648408447512521,5.693460903299732,5.5463841035674974,4.897230080747307,4.893511573525606,4.827010647679666,4.731357137309811,5.078881389524392,5.002956725854255,5.038414629324661,5.213551632668606,5.590671947514564,5.096043166481707,5.415999332452822,5.665986760500869,5.258857252543495,5.257086251210722,4.950850567533904,4.856484094014049
5.092888598845236,4.967635535718824,5.592433734795133,5.375019949212625,5.050069836407827,4.954664250393289,4.963388597870499,4.9029870620095295,5.861295001077486,5.920178614862056,5.342546513543577,5.112910487927493,4.8784460775599605,4.80202966028058,5.228211102499753,5.5686390446306,5.22667220128288,5.307636499745956,4.761645941882381,5.042513375064398
4.638052276034784,4.618369876827686,5.7601186528906165,5.335769904298751,5.062638480024615,5.313912909017308,4.597171395925621,4.530617859062271,5.206527341496277,5.653788600194941,5.270520342514688,5.322587385135418,5.05469242031042,4.803556535828639,5.65846566269338,5.695699409522652,5.311870494164535,5.485818258145676,4.800883211555883,4.870173071614109
4.992947639018511,4.753506129213211,5.002786231818002,4.924786628639686,5.593745327796339,5.505948514290224,5.008345449315809,4.728280412368327,4.682601622240795,4.893741166204318,5.066418013760794,4.9562380727407795,4.724956989438794,4.859295059813865,5.429772377127176,5.529884804581884,5.471744704010324,5.4355750865070185,4.9160078945828625,5.210013702793486
4.592772743303257,4.404542063758953,5.502507541400276,5.15518473979302,4.974352885095268,5.151825388435891,4.748931941144611,4.6041064973126495,5.108644404734203,5.215005870196116,5.283720639036219,5.447148756984464,4.678928140276306,4.718339924773193,5.030761957227721,5.294666540729629,5.810614145516989,6.0947668860562265,4.879175853132195,4.822425228819785
