train_score_1,test_score_1,train_score_11,test_score_11,train_score_21,test_score_21,train_score_31,test_score_31,train_score_41,test_score_41,train_score_51,test_score_51,train_score_61,test_score_61,train_score_71,test_score_71,train_score_81,test_score_81,train_score_91,test_score_91,train_score_101,test_score_101,train_score_111,test_score_111,train_score_121,test_score_121,train_score_131,test_score_131,train_score_141,test_score_141
5.237737112458845,4.983027179283657,4.883172982595115,4.774095898383924,4.235311261532284,4.977654480516673,4.898037459777765,4.608944323013878,5.275704174704744,5.662794962055861,5.353156843516645,5.10802107335249,5.737699637414027,5.9086584981191805,5.130761680420783,5.546662139981918,5.4524940520863,5.613695798250671,4.927105251790338,4.220949662937643,5.181361526225574,5.003460628812029,4.7885385181380355,4.913992900059838,4.493767169278661,5.440778747154313,4.9328543069258295,5.067060631344269,5.2250495316303365,5.693220870776899
4.746307575004792,5.325668189485884,4.502214748864135,4.826879790528198,5.0202327877215955,4.576273875197214,4.888286872278705,4.852605458570292,5.475764918111047,5.659111398565235,4.672432626934238,5.552111292782108,5.309094662610216,5.324416396519007,5.371804482483109,5.279606081193787,5.285239882818174,5.769070338912317,4.872332150461381,4.930866042454928,5.392256549863539,5.134067221412951,4.913463598489876,5.56912253225125,4.627462710521535,4.688258516845367,5.808941205364495,5.712076993000469,5.876613491405744,6.320352381879249
5.255226963917107,4.9665936340107,4.399048755058882,5.733887272595345,4.574526108276795,4.544340040371757,4.299459646555061,4.514546332988522,5.204929253688094,5.521331444590528,4.716428254969074,5.616206767485134,5.343168325036417,5.777830728110821,4.974830459430492,5.476640460025708,5.2905309344130655,4.983893040363342,4.819784134281653,5.325410199265819,5.412844883576887,5.452145016025393,5.043717235927195,4.847583398364953,4.770685689791889,4.5868151698870046,5.085246927064224,4.799652495074375,5.043507379392365,5.291500864425781
4.8466412595540715,5.395338537247235,4.868574588274123,4.907837445509912,4.552834398150527,4.245843657309535,4.247980354663036,5.42075699748747,5.436280059666567,6.163199849093647,4.944073516698472,4.657190854520088,5.568834792325793,5.690448168419792,5.248245181015957,5.651883065653788,6.324944394388025,5.444711504840568,5.021422950330433,5.542572645542879,5.197298316887455,4.777792985306336,4.9743320764346155,4.61389158253154,5.206747896033305,5.576390332833954,5.702011826159483,5.818723577053625,5.243635134672306,4.983656193807018
5.29415397258589,4.947927484149378,4.408825271598537,5.707896439810971,5.267004951778831,5.378927937930863,4.343692301793978,4.506204800431246,5.059261594679974,5.195425943205858,5.445140551583357,5.019501008274186,5.316516084046381,5.346363118071875,5.3350511809734975,5.450023167842461,5.327267609727951,5.171750737313362,4.631230506940519,5.686335561944099,5.2272087586480085,4.863668563164129,4.63220734317048,4.781720788228325,4.4484634720795455,4.773532249672588,6.045930072237652,6.145535969843303,5.891817609205831,5.5931606158703175
5.062599828969468,4.529409035967059,4.954199245031263,5.245631312487733,4.722706349191083,4.746440765177162,4.58280557925491,4.508218494533057,5.2511170661397175,5.89508713048201,4.585909030608539,4.747929053457478,5.128268531516613,6.084662646343767,5.906665580848474,5.63016442521608,4.897173257690111,5.70602346552728,5.1854126096183375,4.945462874291022,4.904573373832402,4.934776201477176,4.580800676570911,4.7498097994980055,4.960685787520302,5.698492412334316,5.620365252839553,6.100879024025912,4.93830290771475,4.523713134468128
4.983123136732619,4.968085040029712,5.2640308482748175,5.048521152796706,5.34355969446053,5.21418439038168,4.297239351777171,4.9141417329391786,5.776378967161739,5.006805524436351,4.763257801773098,5.531477266296091,4.911467780284113,5.204973850673965,4.801857940306556,4.829840379069524,5.298495620270001,4.6733610602587525,4.947982150417426,5.672877508821786,5.443360827845647,5.074731084933518,4.722805593871313,4.667273816011109,5.0339134150770874,4.844204395050768,5.510617548253751,6.043093403487494,5.436393458184274,6.166002435444301
5.331537827185362,6.182836890100323,4.683208020013773,5.437152723269022,5.031974117979463,4.400687337994782,4.548979118897058,4.367049082695918,5.556768132967819,5.50246041952934,5.402240136314766,5.009082913766509,5.049639316461561,5.323047208109676,5.399314591736237,5.131310177144156,5.596829971921145,5.333745435183735,4.526324317006621,4.4015836960968135,5.394325593874344,5.357868120825781,4.968906254050711,5.51184205626155,4.803099054205469,4.839184550267702,5.306292207509138,5.9769960719774184,6.025473067787889,6.422991314773338
4.996234934153784,5.014854267532972,4.801694181088319,5.4473038280789785,4.559681541641733,4.670539907575556,4.607472162730563,4.279997241624569,5.408816927034154,5.148293428816588,4.740718990996936,5.057302873631499,5.882919556421202,5.736419996614554,5.032556742412501,5.2709794614628915,4.955724259195434,4.881672531594174,4.906403833631135,4.835704811535261,4.902041924894622,4.62555258258012,4.579787810961976,4.889112714736809,5.10535637106052,5.3290981818628875,5.5394929647701705,5.448212295946849,4.97796851120574,5.353304241231069
4.779626279833369,4.67759364064268,4.8692296677473506,4.7145006296735925,4.592946798924601,4.729955138109683,4.446502784659329,4.754848231969969,5.134280012382469,5.699699759172773,5.292959658848031,5.283241274039934,5.296515767843634,5.365184146265816,5.015658953399193,5.006439867133151,5.089698574922006,5.957483724772748,4.915215531749011,4.468227603881761,4.839510269455972,6.11340813990378,4.987164902046768,5.236049697043788,5.075591434342044,4.409023773776996,5.424566760134572,5.680416678302543,5.640338780801586,5.605367234018602
