train_score_1,test_score_1,train_score_11,test_score_11,train_score_21,test_score_21,train_score_31,test_score_31,train_score_41,test_score_41
5.097782248133963,4.503879122319873,4.780759546997697,4.745022807681146,4.707958590716348,4.757465749237854,4.806365999165628,4.803017281625923,5.22330442825197,5.323872737366054
5.180584117531117,4.803068501286516,4.974200661001827,4.717490013164946,5.009052365454041,5.074031227284615,4.7234115429889005,4.517248300286922,5.177481128289272,5.204070522631088
5.012756728841268,4.451822046535535,5.07065766456158,4.98186757029138,4.913600044395015,5.102954243219776,4.693200666681977,4.5470616307150244,5.536333916673401,5.5947740942881
5.26546192939053,4.871294857578112,5.026852912683893,4.7534156682208275,5.153304224944187,5.150148561589477,4.861232963937955,4.742274799261212,5.5178782917092635,5.441114601368107
4.90829574487604,4.449847131614785,4.980299890525903,4.745501687127041,4.74973555322782,4.544303314425058,4.846835186660281,4.624317111886995,5.167335220315846,5.627974239932426
5.0650629098932995,4.632271457845311,4.800068055209942,4.655119536148029,4.8822606300186635,4.818074179644751,4.679359384921678,4.6182759608912995,5.841632363979758,6.403837611664575
5.075093872617412,4.559517435810654,4.830704899286538,4.704003226225906,4.47335554177267,4.543897899657676,4.885849154659327,4.5759500439445455,4.890470467467211,5.268463785002488
5.029668843307613,4.550100138154289,5.403016750026618,5.379359763935161,4.842393458518101,4.543153805948142,4.68769986964812,4.4450022503177005,5.472103548645458,5.511037738487609
5.10489611210725,4.655771927102105,5.2263885063806885,5.184910518208174,4.718710213499585,4.687797198483486,4.596917282692887,4.423380192126968,5.106591178763523,5.618823092164427
5.55371797088358,5.250953961793362,5.36058730303457,5.235616451375296,4.831865675163437,4.61186830492002,4.620755610992423,4.4760846735811715,5.3539053198031015,5.331040408128929
