train_score_1,test_score_1,train_score_5,test_score_5,train_score_9,test_score_9,train_score_13,test_score_13,train_score_17,test_score_17,train_score_21,test_score_21,train_score_25,test_score_25,train_score_29,test_score_29
8.006383129138074,8.847350559374554,8.380188535899062,9.175046793534822,8.492160538788962,9.138686327984122,8.481049207751418,9.250461371370054,8.755373611049942,9.32465758001215,8.724640274377737,9.393665535766704,8.773208742874607,9.452819567322729,8.915159121154892,9.81206219348129
8.264027363503903,8.754799303908875,9.628258193246127,9.689869709132857,9.400955148197829,10.120201677999505,9.644817216110829,10.46032265525435,9.21250615599912,9.310016830469918,8.927264402079873,9.375810606009118,8.991892039815735,9.141576366575407,9.90854622059376,9.872959403993242
8.566275440479913,9.160315195230345,8.307087704754927,8.949833354210307,9.04226387444872,9.80355241861237,9.037111897932508,9.414640535104787,9.902883401857563,9.868930246382435,9.261384376524251,9.292796832511812,8.979749968593156,9.397801409038932,8.673913936670289,9.547825274162914
8.317275067954585,8.991822995652244,8.420489933371558,9.090690517067783,9.314620676698857,9.818415889087882,9.271244990569228,10.011192736236977,9.026705655627206,9.533952771786263,9.18005485158161,9.385922620157947,8.936224931335806,9.412527726179293,8.803504687628182,9.29342099666021
8.516072739539917,9.163489515085645,9.52667669862234,10.0695226204528,8.796772056445347,9.457518983612328,9.493487063047475,10.105963387005765,9.653861373476452,10.024404762988661,8.881101160329262,9.626660139935636,8.226718731331328,9.327587128536472,8.736647585308704,8.71731563447325
7.911764243922357,9.438286442895933,8.942991734412564,9.377798392427687,8.923242418093452,9.533130528952098,9.138525012251383,10.274958528421497,8.950406944739004,9.507832869582389,9.193716798555375,9.799362293705041,9.522749597300866,9.973441161858627,8.842937628218822,9.549626564671978
8.683499328985395,8.862853472769418,8.934461981656026,9.217750333216012,9.390001923945771,9.088504089459764,9.734414185917895,10.427361006154152,9.373405777457663,9.572052605489594,8.752041138906044,9.301916425301494,8.983897783830482,9.757074818403431,8.80126175932764,9.512770695191577
7.720709991123601,9.10754575688714,8.679538310560183,9.393767274351122,9.232713593203467,9.697991992438762,9.304958011753792,10.213892192195578,9.250162601906926,9.726223127443744,8.66653332717649,9.35584951698405,8.569386797874174,9.244569446926256,9.15819954013601,10.155572712119728
8.404487935728087,9.057700508044492,8.537903622077893,9.523281864741572,8.64722423792761,9.199021723086151,8.946008653523114,9.954167114599583,8.995251576289961,9.052938328033003,8.697397783697834,9.419526243653547,8.923704268320686,9.453303543859585,8.922010661476147,9.341387372212665
8.196038087377664,9.050749829745858,9.022702665451128,9.746896872401061,8.738891926237722,9.233617890032741,8.819881873050319,9.329950863332218,9.485977562615059,9.629169008554321,8.75496230955375,8.874536909593314,9.473494949739546,9.684247162816446,8.874485787194875,9.114757412227197
