train_score_1,test_score_1,train_score_11,test_score_11,train_score_21,test_score_21,train_score_31,test_score_31,train_score_41,test_score_41,train_score_51,test_score_51,train_score_61,test_score_61,train_score_71,test_score_71,train_score_81,test_score_81,train_score_91,test_score_91,train_score_101,test_score_101,train_score_111,test_score_111,train_score_121,test_score_121,train_score_131,test_score_131,train_score_141,test_score_141,train_score_151,test_score_151,train_score_161,test_score_161,train_score_171,test_score_171,train_score_181,test_score_181
6.036666840224306,5.967516267377044,6.151114097097097,5.319898274366912,5.442878134978207,5.708935596115717,5.578093685522877,5.7513169328763745,6.5258017230664915,6.179038210367532,5.806006975804113,5.6089421515050475,6.482766853223913,6.879962340924103,7.16329241943516,7.456827161060494,6.14636160295086,5.852184082953954,5.812491275208555,6.289568363429805,6.335706963972771,6.178999622455588,6.052987079298443,6.081574768297593,5.6242819815110225,6.220151625732658,6.49594366794643,6.84625960921803,6.014092079545482,6.1867136434005445,5.5841844063376875,6.035008550245329,5.805394041606852,6.896856020414354,6.284138728778613,6.201131397326501,7.074906752069606,6.629200910155762
5.873462007592834,6.258339165399886,5.794726072224736,6.131045779967605,5.554134980110329,5.242536984015028,5.759286580062714,5.786197748088104,6.2442826368541615,5.894194055349875,5.9411174064465575,6.8741498003651476,6.186769181338669,6.5336238295981,6.107044669410648,5.91776847932454,6.332807066078752,6.573855880971925,5.904978859451968,5.840300692093485,6.341037744444118,5.512019905515203,5.929611049950753,6.32732831565829,5.831603884270882,5.610978411104751,7.068284434238306,6.941348550726501,6.558145173911559,6.077246264173329,5.873801024375437,5.9847181435332475,6.314427607719154,6.197626907768087,6.189599310030085,5.8596444223651885,6.936094349054036,6.473282344069914
5.625302360683843,5.856095928340138,5.707725031458368,5.241625604182145,5.419384977503112,5.267345734679335,5.617349507169266,5.816591240963399,6.1451721258414205,6.5672505160690955,6.239616947933736,6.682640257396707,6.369586482460466,6.240653321296164,5.965266799786436,6.069475803593802,6.336038459326295,6.405663201645888,6.220541086746318,6.859807587330158,6.084181495444553,6.304697258587772,6.460768471942818,6.680807627228476,5.661343728308594,5.417069986095417,6.403650861188889,7.1606327489722865,6.5966751960540835,6.807996751291983,6.282023420016835,5.577892029328968,6.612781530339567,6.586806382836406,6.030237818997921,6.759796754230327,7.450279914642248,7.783870406164646
6.344402583013404,6.38247031857656,5.838773528161396,5.888445556825959,5.702868623293243,5.6434676645361375,6.1759238087965995,6.13052752044911,6.202298334292412,6.395559223582939,6.052861439853291,6.269519850067972,6.063732388516061,6.042524624989293,6.373665778027991,6.120488062471474,6.10046692953213,6.001577914843272,6.320931085798656,6.261140521815915,6.288350347855775,6.714178480530908,5.879242639389202,6.294129363323901,6.271712931739883,6.0252523303217345,6.597747510758086,6.892239846311228,6.091169897307205,6.605585006523324,5.9800811125277304,5.696255646282353,6.690163305867043,6.284953130850002,6.129829169502582,6.070583327276249,6.255895256864504,6.687435555784744
5.907432587232712,6.299957501539162,6.06682504237673,5.876852898998789,5.571028753419992,5.699312939628026,5.988725712947621,5.282869678905984,6.366783110624878,6.048545438124758,6.1165902903518585,5.696556716858806,6.027056082203366,5.260899407304108,5.877170648230664,5.550201343788223,6.166311236646343,5.8117870870639985,6.176560719724392,5.713633222106547,6.639541935025603,6.075730849166855,5.94307522229163,5.828962347526791,6.315170179863335,5.962230462193418,6.3502160124154265,6.703245059576868,5.949913226990558,5.462503430369328,6.388295487626925,5.646315318182353,6.002323435597747,5.785216106106833,6.309528074544346,6.182668477334018,6.574706725360064,6.471760917212877
5.7074992176545685,6.376130452770299,6.835688669542194,5.952131341416798,5.9845470930105265,5.768465296917043,5.664603185663591,6.068444613008475,6.287391977824584,6.674321557658262,6.489040999023438,5.691012451718924,5.9895481189633895,5.399379252555277,6.284652088913687,5.8871921776944465,6.368276967706861,6.967055251833703,5.763452821954856,5.506768605774218,6.0961518050018375,6.388950811782473,6.257076389916537,5.902006038521769,5.864513751023345,5.552214310081364,6.8338906572206,6.164227549342337,5.97290564825633,6.381510951750628,6.053381138484047,6.169245903462043,6.162679956824605,6.640946477845543,5.564096397640921,6.733828802151717,6.212423610420692,6.153190085112175
6.16446269350274,5.896387809488181,5.615159001562887,5.30833039103089,5.772293349125398,5.324885630251894,5.8081389961901575,6.626782284788142,5.69422206226312,6.207573025304982,5.779652540662175,6.395339827034395,5.933283233344716,5.923749247695394,5.747863110718541,6.189248097369653,6.094043489965458,6.320324245781249,5.832256895697553,5.454003683564273,6.33336885915647,6.215800900568807,5.953341769602516,5.705107906471872,5.782518855476335,5.818253584413032,6.914166111121717,7.127029212322443,6.995111937123777,6.910414173898948,6.973899759239877,6.671595019548407,6.162265247221825,6.416292274371795,6.384727312732075,5.555031295254656,7.0656139352330865,6.389059184757705
5.970523911666786,5.269728400838727,6.010697696999009,6.0194416735775045,5.240106318147749,6.000711414296029,5.682337610964195,5.372552138102927,6.128910129338646,5.956430591987403,6.166985770839584,6.36805056557301,6.127352972868798,5.485813236850523,6.30285097754147,6.346163018802625,6.2095589195524585,7.240279114579262,6.065287191686433,5.627395503581146,6.418168637134851,5.648382776308164,6.124707304453002,6.153714142561995,5.6685628367763,6.196074573528451,6.255454923436557,5.322341676073469,6.052867896002095,6.26262777869247,6.181006978354921,5.906636389680331,6.482980670400001,7.033715152087997,5.907338294749477,7.300264064434358,6.639635385222761,6.8296365361754425
5.64271262955815,6.3907221284971145,5.759220102335121,5.933932772630139,5.679740743480426,5.782086313685309,5.934707533102105,5.435463840774163,6.14977913349389,6.0586845189280965,5.891912430424074,6.6236313738125885,5.8746814470863224,5.372144260392772,6.114426085715511,5.772120770958917,6.527841059366451,5.997476457705113,5.94670920863271,5.984759274439233,6.167246943133978,6.249981971833469,5.784489639510954,5.903273147623471,6.0391282874250525,5.75001994036376,6.675101076894933,6.863812055814791,6.150371941813962,6.634627592142454,5.653474201919676,5.631112779153141,6.338684901587055,5.662169819266388,6.360794035360136,6.113193112623092,6.6616468267066145,6.1800572592252765
5.7178448671115785,6.159166816129608,6.095668553902199,5.843733014795355,5.341347253950736,5.137280630578797,5.986923585579232,5.757740700617579,5.805820807553174,6.094370872187779,6.144301539684809,6.599467162377855,5.545954638527742,6.009193994041079,5.898478501143245,5.72000098639325,6.03424077821821,6.535624160363527,5.86241452356944,5.880885560275208,6.300655853856515,6.288809973446171,6.603589034794042,6.201680654273482,5.619331695148554,5.895186915140685,6.300176380781626,6.13635444291099,6.176816476709537,6.556116509034411,6.470656079473033,5.872457433360238,6.321052335444271,5.760726362419753,7.214478114824981,7.0581957444879455,6.697361274559607,6.721912296493827
