train_score_1,test_score_1,train_relative_error_1,test_relative_error_1,train_score_11,test_score_11,train_relative_error_11,test_relative_error_11,train_score_21,test_score_21,train_relative_error_21,test_relative_error_21,train_score_31,test_score_31,train_relative_error_31,test_relative_error_31,train_score_41,test_score_41,train_relative_error_41,test_relative_error_41,train_score_51,test_score_51,train_relative_error_51,test_relative_error_51,train_score_61,test_score_61,train_relative_error_61,test_relative_error_61
6.088881431200846,5.605086668938928,824127054811895.1,824127054811895.1,6.1281269629894535,5.901257363440468,664596287829030.5,664596287829030.5,5.346967765615204,5.40295418084358,558897698691603.25,558897698691603.25,5.717764381705337,5.751948710620749,695474159722799.8,695474159722799.8,6.082352913813472,6.138147292277321,313519205029812.7,313519205029812.7,6.811718369560397,7.028692021753397,1246882357575680.8,1246882357575680.8,5.756168323528376,5.385795726363205,757886059418359.1,757886059418359.1
6.079317143276157,6.108945781948004,468234702664742.5,468234702664742.5,5.660639635173705,5.197807183334596,514264997963245.44,514264997963245.44,5.292675504864544,6.013466060901843,550917862277727.2,550917862277727.2,5.94560772743087,5.867956964660134,1417820240288882.2,1417820240288882.2,5.943632805492295,6.942195477648424,1124681009167171.0,1124681009167171.0,6.220032908846102,5.6762852291392525,604972659953816.2,604972659953816.2,5.740758773780456,5.97375597735412,945785048225109.9,945785048225109.9
6.838720998960194,6.72242875561475,1014812081394423.1,1014812081394423.1,6.006188124271758,5.853755328204095,388603115237831.56,388603115237831.56,6.116112205933154,6.311390732386232,569426037712365.6,569426037712365.6,5.916658648898811,6.514593347119242,1268161043545505.8,1268161043545505.8,6.020026765189549,6.2172817289673485,988900590373850.6,988900590373850.6,6.781469212732215,6.86490803082145,1340527503028073.0,1340527503028073.0,5.821757785349199,6.217154034283586,642959069296868.0,642959069296868.0
5.9112077544898405,5.023349058807443,406849149603385.2,406849149603385.2,5.659599206339579,5.5820278752636465,364324162099731.25,364324162099731.25,5.648893799157512,5.748881888765022,355063267395963.56,355063267395963.56,5.605979161679552,5.946309232812495,997196809973608.9,997196809973608.9,6.436107871386845,6.2582536179058454,468030180372632.1,468030180372632.1,7.195324372289405,6.82917466293385,1978946188456999.0,1978946188456999.0,6.005944426344649,6.036112941400051,551247764579214.7,551247764579214.7
5.9419603012990265,5.234980741742818,360930091845404.8,360930091845404.8,5.821268138368847,5.894588189847626,286645518180655.9,286645518180655.9,5.744757831523816,6.108755848336372,301111138733018.5,301111138733018.5,6.215444530748244,6.008201448527532,143146579058385.1,143146579058385.1,6.843433503452384,6.8037228837226476,375132973258069.75,375132973258069.75,6.751265369412253,6.804292735656014,271804911929116.78,271804911929116.78,5.885505505291728,6.826961462334381,740414414273953.8,740414414273953.8
5.803813322062028,5.847004541187872,426161498191493.2,426161498191493.2,5.690897916054195,5.725012764127412,605199104344064.2,605199104344064.2,5.726373105223514,6.138869052826866,950679727670462.2,950679727670462.2,6.150210571307802,5.8561550028796026,694549432199244.1,694549432199244.1,6.2642606201519015,6.772192844152985,260630974911829.78,260630974911829.78,6.786220653382531,6.986983320273948,1701114131921124.8,1701114131921124.8,5.856666249643298,5.719851943395902,661359574695329.8,661359574695329.8
5.811848530055946,5.724139968219632,441615428038504.75,441615428038504.75,5.628166639851009,5.843011351755879,503723113461987.9,503723113461987.9,5.628820862254371,6.068144625103868,250964367366675.38,250964367366675.38,5.831587322742183,5.575218116922867,1180816751819587.0,1180816751819587.0,6.2360876018775775,5.976011979639343,608353899754534.4,608353899754534.4,6.074543847229114,5.610827268027109,705433342394975.4,705433342394975.4,6.236089096399432,5.9020829656014735,966115808752678.5,966115808752678.5
5.962053666729977,5.589802027960553,609166588427681.6,609166588427681.6,5.9390781059400695,6.218978716108061,257858227210619.62,257858227210619.62,5.523547092028981,4.966188833090278,806406335719500.1,806406335719500.1,5.729993966273879,5.593765875115405,609431965284579.9,609431965284579.9,5.913515305110937,5.573975597894427,851996067660990.2,851996067660990.2,6.063690541598398,5.555597504421351,699660528410321.0,699660528410321.0,6.701907137054079,6.675728299607627,456205035323999.2,456205035323999.2
6.03666428402938,5.500892792684698,427293831506603.1,427293831506603.1,5.732555774164345,5.629548460504971,567680062237355.0,567680062237355.0,5.365445468684087,4.896467950166753,526635597930799.75,526635597930799.75,5.520112791386306,6.273057793068177,402054497149231.75,402054497149231.75,6.042714964671318,6.128239810546737,1166957992195110.5,1166957992195110.5,6.587960292569781,6.525868794870221,307492154526682.5,307492154526682.5,6.018399370578292,5.694393997889454,631811688521425.0,631811688521425.0
5.826834098693375,5.765010943629145,691000525639832.1,691000525639832.1,6.200857455535346,5.956080676362107,988143748411847.8,988143748411847.8,5.710775967180668,5.159163788613627,254068788642399.2,254068788642399.2,6.43576828392846,6.235699148391374,1199747328464214.0,1199747328464214.0,6.54839515549528,5.657328950961632,1214734553463012.2,1214734553463012.2,6.732231162441816,7.171571007943154,341900452167680.3,341900452167680.3,5.667865584425061,5.874116563862295,818810003905043.5,818810003905043.5
