train_score_1,test_score_1
5.121346405522794,4.577044149254249
5.301941146254773,4.845974793644539
5.5152879706939375,5.019090602341048
4.977020483967714,4.545557751322047
5.009186736006229,4.566181000379763
5.057706700539475,4.625370975925754
5.069075535943674,4.494875327715276
5.376769176576351,4.773907296117294
4.810080656300319,4.367294058096886
5.141147564970291,4.7199956050587
5.109569375480432,4.70759123054064
5.294333915897142,4.811416506087573
4.999659624716714,4.435559603070453
5.37700209663699,4.882019947634005
5.3306182779586475,4.918464347033561
5.103342646419927,4.606832425400271
5.326921581573326,4.836145895093903
5.202747066002045,4.7940351698386
5.207003073864867,4.733484430254295
5.219788513342424,4.816257430138425
