train_score_1,test_score_1,train_score_11,test_score_11,train_score_21,test_score_21,train_score_31,test_score_31,train_score_41,test_score_41
5.887266663260346,6.205022872228127,5.880189645076703,6.401895510261911,5.612710659770881,5.276897149351931,5.393751486678754,6.2842248824578615,5.770188272496941,6.391229747361635
6.29565492525216,6.162283211016902,5.922558755929914,6.356009924738289,5.557279251838675,4.638315103920812,5.658261450484737,5.809205702807547,6.048286466179932,5.50124744575008
6.034635662697289,4.963070424509457,5.875934591856328,5.991082265405328,5.559549007100508,6.165315149722436,6.037129929141689,6.0332242714313535,6.254628508609306,6.007000408121087
5.711341661214287,5.815022058460985,5.995105103760952,6.365704709588644,5.507410907598137,5.708161148601981,5.72029434730006,5.659438478983402,6.934901266971681,6.586240056973288
6.28077886550555,6.158148692204025,5.819688287791496,5.371773293729025,5.63027183195704,5.260885148151541,5.572718624702179,6.162339434048714,6.703443948404879,6.539662284751243
6.183827104993693,6.092302732774257,5.646687585687863,5.523424854268978,5.75538597106634,5.041454255246485,5.769932972334301,6.530147076763518,6.344709755065709,5.526787735209918
5.451007837496252,6.358607058407633,5.54606210874395,5.621145409352811,5.834869935338015,5.5216233837938535,5.543993130483444,5.5745207291809455,6.0694472894121105,6.189622175620606
5.406603279367676,5.865810771794862,6.388545346780011,5.993205116501772,5.719225320485233,5.64734431767776,5.681760293709246,5.910844669227003,6.616045978094166,6.339463681590367
5.808420452469907,6.056818967868862,5.769387001049496,5.607441944136555,5.564942919382443,5.611715551185369,5.910980819146195,5.526125538082925,6.19624659179468,7.171736073639068
5.831356721127039,5.495744709366715,6.074288481014676,5.80529739002957,5.539675893661528,5.666751680632039,5.394201110715414,6.061627938593453,6.125652388719816,6.710325906299805
