train_score_1,test_score_1,train_score_5,test_score_5,train_score_9,test_score_9,train_score_13,test_score_13
8.3002793671073,8.703282144263664,8.508546168956022,9.351920071850508,9.329784950960189,9.026122553374039,9.386446140818794,10.199898480800863
8.204308473298104,8.47582422431774,9.569568612687803,10.334662462247808,8.658301936322788,9.251619439289568,12.976692824513256,15.554902116697688
8.525604881382337,8.456345390029712,8.84454915180502,9.448841714564232,9.235341048192476,9.60512800022025,8.76374562068471,9.298635478738015
8.135285671603583,8.194503783462094,8.957631447249717,9.720369326425326,9.05216216888885,9.83798542467223,8.961049441714833,10.687639325712462
8.28698947853806,8.254592353854383,8.993679852750638,9.175753734158329,8.612468934483937,9.743037155365613,9.224730813146518,9.613204617190803
8.170955358785964,8.852088766578488,8.86616916528829,9.345699340269213,8.774980304457694,9.175295087378869,9.224731381631354,9.609233602587157
8.089769732934187,8.81444217090611,9.37936458797481,10.404281686047888,10.045822319793142,10.135250294548998,8.904671819698954,8.902729730045554
8.50376498331015,8.460532238747556,9.16614044363622,9.43856901254722,10.081726240361661,10.057189044549201,8.926377361535721,10.43814997600014
8.713155699281897,8.996639457416576,9.064201005794857,9.719484990496161,8.822895086920996,9.450034985866955,8.752872878863545,9.516154840259624
8.08596655530844,8.417683423807363,9.467518132966825,9.326293619332834,9.130565314556266,9.258622351619099,9.748630151876503,10.935457952886829
8.481098432763195,8.430412544474898,8.67194391064005,9.494137238004374,9.012567518727467,9.448768241328947,9.526784393787992,10.33366172236436
8.345284487777445,8.312027068087692,8.918468846966595,9.536772862823,9.302092179978542,9.372220842401765,9.020376129770659,9.44479287131288
8.56568132597323,8.649849843056305,9.000728974836626,9.467692897539246,8.610895318106238,9.23331733191297,10.014133437258833,10.411219565641709
8.181633707118998,8.428481138595023,8.90214401439775,9.617879190182608,9.85901249478646,9.455403641333548,9.951753857723158,10.185178998044146
8.421335429734347,8.41180191526949,8.870426665562949,9.429466504340589,9.249910220240212,9.786733390284285,10.156081591296292,10.00173864068633
8.097235143130272,8.499424305683151,8.891279091195758,9.047288417065088,9.739773979039272,11.419463097886036,9.378081010534611,9.54775034602591
8.611299446488056,8.374923981890083,9.997417524198617,9.927263662140934,9.047096497390932,10.90751425013406,9.848072734344267,9.899560468823687
8.38279565406986,8.770331322653272,8.854894394051742,9.65958673211917,8.95049061577056,10.406940447764596,9.159473827918424,9.130051628919814
8.193913335298612,8.235208138051261,9.24326321873231,9.251432547150058,9.570809915617282,9.976681431952732,8.840553791273116,9.204243731297584
8.060979877165254,8.505011211983131,8.877179028751732,9.15865041717328,10.24050737627078,9.91175245078549,9.062045830897919,9.950319603071557
