train_score_1,test_score_1,train_relative_error_1,test_relative_error_1,train_relative_error_with_zero_1,test_relative_error_with_zero_1
6.899178958691306,7.668841581981006,29.085979226815127,29.452247936233356,43.268922035792784,40.96514076066735
6.618580740055554,7.617265830023888,28.826443946502756,28.8032309484948,43.030923748296644,40.35993591897384
6.893227590061264,7.545881472562775,28.322948268517006,28.196174034943212,42.56920960685853,39.793858620219154
6.763799047671406,7.678389050764662,31.62316086218344,31.68514059885569,45.59556095577924,43.04730112924207
6.942589655800159,7.568425784380025,28.481866616374816,28.21853355016581,42.71494044775367,39.81470874760609
6.853863632148413,7.525617725310002,30.348988573089024,29.60094363110447,44.427123191115655,41.103798694396566
6.982731920912163,7.743930467030896,31.44614393022811,30.207260018090132,45.43323340396246,41.66918545612129
6.676703339738381,7.598398245841674,27.60274505288499,27.87572592805571,41.90877094987383,39.49504248834009
6.7443033050835535,7.560692688918309,27.63656100799286,27.69732086124369,41.939780758621346,39.32868072546311
6.59001969356909,7.547403623004491,29.24872645962641,29.28024057242387,43.418164029625785,40.80474482134508
6.837997897507217,7.477304310706754,28.526892858581178,27.979310053559047,42.756230281353936,39.5916341268666
6.830963288047347,7.624848627258441,28.380358418018464,28.352079223712927,42.621855695089,39.93923936813662
6.8013539129328695,7.61842650351604,33.046356057382226,32.47478411577565,46.9006552721373,43.78363945116649
6.55552753492705,7.766580159494543,29.221626133172414,29.353242266858597,43.39331256712374,40.8728185077946
6.865791718258962,7.594375870377288,28.51467605031179,28.862687570821365,42.745027259386056,40.415378898714884
6.732258833149737,7.543907658042947,28.812426266163072,29.00693182355218,43.01806929586342,40.549885886649555
6.720537463880921,7.597393092167236,28.690175376230766,29.04375876526223,42.905963140531675,40.58422681123051
6.678389048150312,7.643150389579337,30.314445102759315,29.599807762365998,44.395446238476474,41.10273950292231
6.67703720405124,7.545054387755115,27.408780771186773,27.933120446770083,41.73090238871315,39.54856256758122
6.8572544550953864,7.691546229783378,27.924493222583695,28.068800070383936,42.203819520153566,39.67508308504314
